3905,484,1020,-280,16448,16384,1040,0,0,0,
3925,-524,1080,-1036,264,1180,580,629,244,831,
3945,-1316,1696,-2788,408,896,-264,584,49,802,
3965,-1616,-484,-2388,392,596,-388,595,61,821,
3985,-1832,-3360,1452,116,400,96,607,61,806,
4005,-1216,-4132,1200,148,604,-276,613,72,809,
4025,-616,-2600,-576,-12,612,-200,606,80,818,
4045,-1516,192,-1752,164,308,-224,617,82,819,
4065,-652,1424,-1788,356,112,-340,622,85,804,
4085,956,776,-1016,404,-68,-444,624,84,821,
4105,864,-1676,128,352,-152,-488,607,70,807,
4125,-856,-2532,-52,316,-352,-476,616,90,814,
4145,-2636,-1588,-800,224,-468,-412,615,103,796,
4165,-2020,-356,-932,156,-512,-396,617,112,832,
4185,-1456,148,-720,164,-568,-344,629,109,837,
4205,-1648,-496,-448,144,-516,-348,644,96,833,
4225,-2112,-728,-572,112,-432,-400,644,96,833,
4245,-2412,-72,-900,132,-360,-364,622,92,818,
4265,-2048,-132,-704,140,-308,-292,631,106,821,
4285,-1836,-116,-644,144,-264,-232,642,113,802,
4305,-1736,-68,-520,212,-176,-196,644,108,794,
4325,-1088,-180,-292,292,-52,-156,631,120,768,
4345,-588,-8,-260,360,112,-44,631,120,768,
4365,-220,-412,-148,320,284,20,638,102,782,
4385,20,-524,40,252,400,-56,653,117,802,
4405,296,64,112,320,452,-80,635,112,775,
4425,548,-124,164,488,520,-128,625,132,820,
4445,1288,-832,492,320,476,-84,637,147,805,
4465,1440,-388,840,224,356,20,623,118,826,
4485,1464,356,-508,204,208,112,638,136,813,
4505,1464,356,-508,-248,124,320,630,113,817,
4525,-1684,-3860,-672,-84,336,24,622,101,829,
4545,820,640,828,-156,224,200,647,130,815,
4565,1124,376,-184,-216,156,256,643,127,808,
4585,628,-28,248,-240,72,156,633,116,815,
4605,668,732,440,-200,60,-24,622,119,821,
4625,668,732,440,-76,76,-80,632,103,805,
4645,892,948,664,-20,48,-68,629,111,792,
4665,1104,812,588,16,-32,-80,619,111,820,
4685,892,456,408,88,-112,-76,633,121,832,
4705,360,284,400,152,-172,-32,627,127,845,
4725,40,-164,344,152,-244,-28,617,119,837,
4745,-252,-592,68,168,-216,-24,624,121,832,
4765,-284,-732,80,124,-168,-72,629,122,792,
4785,-48,-984,36,48,-144,-112,631,114,833,
4805,232,-956,212,-32,-124,-96,603,92,803,
4825,476,-704,300,-104,-152,-72,618,86,814,
4845,572,-48,268,-132,-132,4,594,111,827,
4865,288,308,176,-136,-120,104,603,111,814,
4885,-288,172,248,-180,-20,148,609,87,828,
4905,128,-256,32,-160,104,156,600,97,792,
4925,488,-216,40,-220,160,212,607,117,818,
4945,788,-104,-116,-328,76,260,609,74,827,
4965,392,200,-220,-388,-20,324,615,100,838,
4985,-420,612,-204,-416,-80,400,642,119,817,
