timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
6163,-1172,-1052,432,-528,172,-408,-150,278,665,
6183,-2304,-508,696,-484,92,-576,-156,277,655,
6203,-2836,344,648,-464,20,-508,-160,270,663,
6223,-2548,860,436,-304,-28,-396,-175,271,635,
6243,-2072,904,368,-80,-76,-332,-168,286,642,
6263,-1696,420,500,96,-140,-288,-150,268,629,
6283,-1296,-104,484,180,-192,-216,-156,257,653,
6303,-796,-176,576,184,-156,-112,-152,269,637,
6323,-192,-36,616,192,-72,-12,-150,245,689,
6343,444,120,608,216,-4,56,-181,250,662,
6363,800,296,780,308,52,92,-172,288,652,
6383,1072,376,1120,448,188,100,-181,257,632,
6403,1544,648,1564,616,212,112,-176,239,641,
6423,2620,140,532,656,112,8,-171,263,647,
6443,2576,-1520,-244,308,-164,-140,-167,294,622,
6463,796,-2852,928,36,-332,-148,-165,293,653,
6483,912,-1156,1624,-88,-308,-64,-148,272,644,
6503,2068,124,-856,-352,-556,-148,-148,272,644,
6523,380,68,-1160,-124,-32,-432,-183,268,650,
6543,568,2388,-1420,240,452,-744,-174,265,665,
6563,408,1200,-2260,148,392,-580,-161,253,639,
6583,-252,412,-2100,184,276,-384,-166,247,656,
6603,-260,-412,-1900,252,4,-404,-171,261,637,
6623,200,-816,-1688,352,-116,-496,-143,243,621,
6643,484,-908,-1028,344,-52,-392,-177,230,671,
6663,360,-636,-132,376,76,-180,-148,237,624,
6683,360,-636,-132,424,180,36,-152,256,616,
6703,64,-340,408,400,232,308,-140,220,636,
6723,-2212,-176,660,320,216,464,-158,245,640,
6743,-2768,-816,600,192,132,456,-152,260,630,
6763,-2468,-1176,484,-36,92,360,-131,257,645,
6783,-1892,-840,452,-312,28,244,-156,253,639,
6803,-1892,-252,432,-516,-40,180,-154,231,641,
6823,-1288,-252,432,-648,-88,184,-143,239,645,
6843,-996,352,412,-656,-148,120,-150,254,629,
6863,-656,800,636,-608,-136,-16,-146,252,670,
6883,-204,800,904,-556,-84,-112,-139,247,655,
6903,56,512,1052,-504,-12,-140,-148,258,648,
6923,96,272,992,-528,92,-120,-164,252,633,
6943,44,-668,1616,-644,252,-160,-157,285,615,
6963,1240,-1412,476,-808,200,-204,-141,272,644,
6983,2432,-820,-288,-708,232,-180,-142,270,640,
7003,1716,952,-28,-468,164,-20,-127,275,633,
7023,188,1836,1480,-300,188,232,-126,289,632,
7043,796,452,1484,-368,208,412,-143,299,653,
7063,2860,-228,-1260,-248,124,484,-162,289,644,
7083,1968,-296,-1136,-192,352,572,-128,317,661,
7103,648,-308,-1988,-388,176,548,-129,304,646,
7123,-172,-44,-2372,-632,144,664,-107,297,610,
7143,-252,12,-2120,-956,64,680,-109,307,638,
7163,756,112,-1684,-996,4,672,-108,314,652,
7183,1892,660,-996,-900,-56,460,-94,313,649,
7203,896,1076,-312,-604,-16,12,-113,312,658,
7223,-148,696,40,-248,12,-420,-102,343,642,
7243,-724,512,496,-40,-28,-696,-109,337,682,
7263,-1420,644,616,-4,-148,-668,-90,317,671,
7283,-1932,268,500,16,-292,-412,-94,319,665,
7303,-2240,-60,196,168,-344,-280,-117,309,663,
7323,-2040,-276,248,348,-412,-264,-115,315,675,
7343,-1812,-488,320,512,-512,-204,-101,321,653,
7363,-1872,-212,464,568,-496,-100,-102,312,656,
