timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3903,484,1020,-264,16448,0,1040,0,0,0,
3923,-1044,276,-636,-596,-364,64,0,0,0,
3943,-1268,404,-1800,-172,-232,-828,647,337,815,
3963,-468,304,-1540,96,-84,-172,626,166,714,
3983,632,-1268,200,96,-472,-40,596,159,701,
4003,172,-2052,724,-124,-480,36,594,166,685,
4023,-76,-1292,428,-416,-600,-52,620,166,712,
4043,796,244,-188,-532,-584,-180,606,151,720,
4063,1324,968,-492,-432,-568,-312,600,147,655,
4083,1176,872,-480,-324,-484,-384,601,170,711,
4103,712,476,-364,-260,-324,-440,600,163,674,
4123,80,-392,-196,-276,-232,-540,606,179,682,
4143,-696,-584,28,-388,-196,-540,606,173,684,
4163,-996,-180,48,-476,-132,-520,595,187,681,
4183,-808,116,312,-412,-116,-460,584,183,686,
4203,-816,12,480,-292,-84,-324,607,190,673,
4223,-1028,-168,244,-180,0,-108,605,197,686,
4243,-596,16,208,-96,96,144,605,197,686,
4263,68,308,312,-84,156,364,621,188,681,
4283,504,548,304,-64,232,476,583,214,700,
4303,488,788,288,-32,252,492,614,164,691,
4323,352,576,344,44,288,448,617,157,697,
4343,348,124,396,136,352,360,610,179,707,
4363,288,-256,256,240,424,272,610,179,707,
4383,104,-256,304,340,360,248,605,166,700,
4403,-128,-272,464,424,216,264,586,147,673,
4423,-128,-336,408,464,104,244,606,142,705,
4443,12,-112,648,468,68,240,619,164,707,
4463,256,56,664,524,32,184,609,148,709,
4483,184,-76,576,620,-4,120,590,134,685,
4503,-256,-400,240,676,68,72,602,150,683,
4523,-256,-400,-880,608,196,60,614,185,720,
4543,-512,-692,-880,236,296,-4,614,161,701,
4563,180,-1100,-1428,-84,192,-156,598,156,713,
4583,892,-504,-1008,-176,-48,-352,601,153,700,
4603,892,692,228,-24,-264,-320,614,162,714,
4623,-552,1960,616,308,-220,-168,615,153,696,
4643,-912,2264,728,692,-184,-4,607,152,707,
4663,-560,884,872,960,-180,160,619,170,751,
4683,-600,-356,1044,1120,-136,236,618,148,711,
4703,-660,-644,1116,1204,-124,244,594,151,673,
4723,-876,-712,952,1216,-48,260,605,169,699,
4743,-888,-812,176,1048,124,320,586,144,703,
4763,-764,-1528,-924,624,156,520,595,123,692,
4783,-320,-1832,-2024,104,120,548,592,143,695,
4803,548,-1196,-1428,-168,-228,312,597,137,716,
4823,136,1068,-724,-100,-316,100,599,125,692,
4843,-600,1672,-1036,116,-344,200,593,128,710,
4863,216,572,-884,344,-248,348,602,117,677,
4883,1656,-284,-768,380,-368,368,603,113,681,
4903,1272,-324,-556,308,-404,276,608,119,681,
4923,808,-580,-696,244,-268,152,595,111,666,
4943,520,-652,-416,180,-84,112,600,98,677,
4963,740,-24,-124,256,144,180,591,123,668,
4983,780,408,-44,396,164,252,589,103,686,
5003,240,-108,232,480,180,308,596,113,693,
5023,-360,-684,400,460,264,316,585,100,689,
5043,-692,-636,324,336,328,240,589,115,711,
5063,-844,-128,264,184,272,64,621,108,717,
5083,-628,84,180,100,172,-168,595,117,705,
