timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
6203,2772,1120,1512,-888,2104,24,105,17,1189,
6223,3252,1508,1304,-812,2152,32,94,10,1210,
6243,5332,1788,1076,-704,2208,196,59,-3,1189,
6263,7428,2480,620,-536,2232,568,31,-27,1196,
6283,7000,2272,-136,-380,2092,932,14,-30,1188,
6303,5728,384,-812,-80,1676,988,12,-11,1185,
6323,3864,-1976,-628,88,1452,780,16,-19,1171,
6343,1588,-3952,864,-60,1324,612,-25,5,1175,
6363,-1716,-5988,644,-736,824,260,-13,-16,1171,
6383,-5472,-564,-1680,-832,256,-412,-12,-28,1195,
6403,-7496,1832,-1860,-892,-32,-996,-12,-29,1176,
6423,-5756,1912,-2872,-1388,-140,-824,-6,-24,1151,
6443,-1928,8812,-368,-756,-136,-60,-1,-20,1145,
6463,-1100,4276,1252,620,-316,832,12,-18,1174,
6483,-4420,-1332,-1080,1240,-156,484,18,-6,1155,
6503,-3048,-2700,48,1392,144,216,2,-11,1170,
6523,1500,-1752,1264,1448,328,152,2,-11,1170,
6543,3544,-2028,1352,1508,360,-212,6,13,1176,
6563,4140,-2424,2040,1484,572,-1020,26,29,1155,
6583,4520,-1876,2248,1076,804,-1712,1,9,1152,
6603,6652,-2684,2596,480,1192,-2236,3,20,1173,
6623,7760,-5396,3380,-256,1240,-2196,-5,25,1174,
6643,4016,-5480,2008,-1576,900,-1940,-17,6,1167,
6663,-172,1624,-1436,-2344,980,-1512,-15,-8,1158,
6683,880,12580,-2176,-1744,788,-600,0,-17,1153,
6703,880,12580,-2176,-2368,-148,796,-4,-43,1167,
6723,-8336,-1068,-2272,-3092,32,1916,-13,-45,1135,
6743,-8960,1328,-44,-2632,952,1080,-13,-42,1152,
6763,-9132,2920,-124,-1972,688,-376,-16,-62,1106,
6783,-9240,2444,-4692,-1760,-132,-704,-51,-84,1111,
6803,-7924,-2416,-2508,-2548,-756,-40,-29,-96,1109,
6823,-7924,-2416,4284,-2520,-600,632,-24,-108,1104,
6843,-2180,-2068,4284,-2372,-584,332,-25,-146,1095,
6863,8752,-68,7652,-1220,1440,-76,-29,-140,1095,
6883,27656,17800,9064,192,1340,1708,-56,-125,1085,
6903,8920,12976,3560,2688,-2368,3204,-62,-111,1067,
6923,-1916,-5820,-1708,1900,520,3260,-72,-98,1092,
6943,3164,-16272,-9804,2680,-1072,2220,-92,-76,1105,
6963,-6044,-12476,-7960,2480,1388,-1656,-83,-52,1117,
6983,-7440,1160,-3756,2092,2472,-3432,-74,-63,1079,
7003,-7708,4276,4364,1068,1980,-628,-65,-62,1114,
7023,-7788,2612,5328,1176,964,984,-81,-39,1141,
7043,-8204,-4272,-1048,2704,-128,416,-94,-22,1132,
7063,-7400,-3924,-6972,3692,-704,-440,-73,-9,1106,
7083,-4096,-1660,3008,3808,-932,-572,-93,-4,1145,
7103,5812,-4,10108,3932,-128,432,-83,26,1156,
7123,32556,-8216,11304,1792,4748,32,-97,45,1125,
7143,22092,-19940,6296,-6748,-3440,-1396,-122,10,1143,
7163,-3320,624,-4964,-2348,-1220,-3196,-77,-30,1126,
7183,-5596,25468,-8804,-3000,-904,-16,-68,-48,1108,
7203,-7292,16520,-8480,-3332,1328,2420,-63,-78,1092,
7223,-12952,420,-648,-2608,1788,1448,-93,-86,1103,
